;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/14/2025 10:51:12 PM
;----------------------------------------------

;Address Opcode 	ASM
0x059F	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,168 :: 		
0x05A0	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x05A1	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,171 :: 		
0x05A2	0x1788      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,172 :: 		
0x05A3	0x1708      	BSF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,173 :: 		
0x05A4	0x1688      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,174 :: 		
0x05A5	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,175 :: 		
0x05A6	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,176 :: 		
0x05A7	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,177 :: 		
0x05A8	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,179 :: 		
0x05A9	0x207C      	CALL       _Delay_5500us
;__Lib_Lcd.c,181 :: 		
0x05AA	0x1683      	BSF        STATUS, 5
0x05AB	0x143C      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x05AC	0x0008      	RETURN
; end of _Lcd_Init
___CC2DW:
;__Lib_System.c,134 :: 		
;__Lib_System.c,137 :: 		
_CC2D_Loop1:
;__Lib_System.c,139 :: 		
0x05AD	0x2288      	CALL       _____DoICP
0x05AE	0x118A      	BCF        PCLATH, 3
0x05AF	0x120A      	BCF        PCLATH, 4
;__Lib_System.c,141 :: 		
0x05B0	0x0080      	MOVWF      INDF
;__Lib_System.c,142 :: 		
0x05B1	0x0A84      	INCF       FSR, 1
;__Lib_System.c,143 :: 		
0x05B2	0x0AEC      	INCF       ___DoICPAddr, 1
;__Lib_System.c,145 :: 		
0x05B3	0x1903      	BTFSC      STATUS, 2
;__Lib_System.c,146 :: 		
0x05B4	0x0AED      	INCF       ___DoICPAddr+1, 1
;__Lib_System.c,147 :: 		
0x05B5	0x03F0      	DECF       R0, 1
;__Lib_System.c,149 :: 		
0x05B6	0x1D03      	BTFSS      STATUS, 2
;__Lib_System.c,150 :: 		
0x05B7	0x2DAD      	GOTO       _CC2D_Loop1
;__Lib_System.c,152 :: 		
L_end___CC2DW:
0x05B8	0x0008      	RETURN
; end of ___CC2DW
_Init:
;MyProject.c,205 :: 		void Init()
;MyProject.c,207 :: 		HL = 1;                // start high
0x05B9	0x3001      	MOVLW      1
0x05BA	0x1683      	BSF        STATUS, 5
0x05BB	0x1303      	BCF        STATUS, 6
0x05BC	0x00BF      	MOVWF      _HL
;MyProject.c,208 :: 		SET_BIT3_LOW(TRISC);
0x05BD	0x1187      	BCF        TRISC, 3
;MyProject.c,209 :: 		SET_BIT4_HIGH(TRISC);
0x05BE	0x1607      	BSF        TRISC, 4
;MyProject.c,210 :: 		SET_BIT5_HIGH(TRISC);
0x05BF	0x1687      	BSF        TRISC, 5
;MyProject.c,211 :: 		SET_BIT6_HIGH(TRISC);
0x05C0	0x1707      	BSF        TRISC, 6
;MyProject.c,212 :: 		SET_BIT2_HIGH(TRISE);
0x05C1	0x1509      	BSF        TRISE, 2
;MyProject.c,213 :: 		SET_BIT5_LOW(TRISA);
0x05C2	0x1285      	BCF        TRISA, 5
;MyProject.c,214 :: 		TRISD = 0;
0x05C3	0x0188      	CLRF       TRISD
;MyProject.c,215 :: 		SET_BIT1_LOW(TRISC);
0x05C4	0x1087      	BCF        TRISC, 1
;MyProject.c,216 :: 		SET_BIT2_LOW(TRISC);
0x05C5	0x1107      	BCF        TRISC, 2
;MyProject.c,217 :: 		SET_BIT0_HIGH(TRISB);
0x05C6	0x1406      	BSF        TRISB, 0
;MyProject.c,218 :: 		SET_BIT1_LOW(TRISB);
0x05C7	0x1086      	BCF        TRISB, 1
;MyProject.c,219 :: 		SET_BIT2_LOW(TRISB);
0x05C8	0x1106      	BCF        TRISB, 2
;MyProject.c,220 :: 		SET_BIT3_LOW(TRISB);
0x05C9	0x1186      	BCF        TRISB, 3
;MyProject.c,221 :: 		SET_BIT4_LOW(TRISB);
0x05CA	0x1206      	BCF        TRISB, 4
;MyProject.c,223 :: 		ATD_init();
0x05CB	0x230E      	CALL       _ATD_init
;MyProject.c,224 :: 		CCPPWM_init();
0x05CC	0x228F      	CALL       _CCPPWM_init
;MyProject.c,225 :: 		OPTION_REG = 0x00;
0x05CD	0x1683      	BSF        STATUS, 5
0x05CE	0x0181      	CLRF       OPTION_REG
;MyProject.c,226 :: 		TMR0 = 0;
0x05CF	0x1283      	BCF        STATUS, 5
0x05D0	0x0181      	CLRF       TMR0
;MyProject.c,227 :: 		oftmr0 = 0;
0x05D1	0x01BF      	CLRF       _oftmr0
0x05D2	0x01C0      	CLRF       _oftmr0+1
;MyProject.c,229 :: 		TMR1L = 0;
0x05D3	0x018E      	CLRF       TMR1L
;MyProject.c,230 :: 		TMR1H = 0;
0x05D4	0x018F      	CLRF       TMR1H
;MyProject.c,231 :: 		T1CON = 0x01;
0x05D5	0x3001      	MOVLW      1
0x05D6	0x0090      	MOVWF      T1CON
;MyProject.c,232 :: 		INTCON = 0B11010000;
0x05D7	0x30D0      	MOVLW      208
0x05D8	0x008B      	MOVWF      INTCON
;MyProject.c,233 :: 		SET_BIT2_HIGH(PIE1);
0x05D9	0x1683      	BSF        STATUS, 5
0x05DA	0x150C      	BSF        PIE1, 2
;MyProject.c,234 :: 		SET_BIT1_HIGH(PIE1);
0x05DB	0x148C      	BSF        PIE1, 1
;MyProject.c,235 :: 		SET_BIT0_HIGH(PIE2);
0x05DC	0x140D      	BSF        PIE2, 0
;MyProject.c,236 :: 		CCP2CON = 0x08;        // Compare mode, set output on match
0x05DD	0x3008      	MOVLW      8
0x05DE	0x1283      	BCF        STATUS, 5
0x05DF	0x009D      	MOVWF      CCP2CON
;MyProject.c,237 :: 		CCPR2L = 2000;         // Value preset in a program to compare the TMR1L value to
0x05E0	0x30D0      	MOVLW      208
0x05E1	0x009B      	MOVWF      CCPR2L
;MyProject.c,238 :: 		CCPR2H = 2000 >> 8;      // Value preset in a program to compare the TMR1H value to            - 1ms
0x05E2	0x3007      	MOVLW      7
0x05E3	0x009C      	MOVWF      CCPR2H
;MyProject.c,240 :: 		direction(0);
0x05E4	0x1683      	BSF        STATUS, 5
0x05E5	0x01C8      	CLRF       FARG_direction_dir
0x05E6	0x23B0      	CALL       _direction
;MyProject.c,241 :: 		}
L_end_Init:
0x05E7	0x0008      	RETURN
; end of _Init
_main:
0x05E8	0x26C0      	CALL       1728
;MyProject.c,385 :: 		void main() {
;MyProject.c,386 :: 		Lcd_Init();
0x05E9	0x255E      	CALL       _Lcd_Init
;MyProject.c,387 :: 		Lcd_Cmd(_LCD_CURSOR_OFF); // cursor off
0x05EA	0x300C      	MOVLW      12
0x05EB	0x00CE      	MOVWF      FARG_Lcd_Cmd_out_char
0x05EC	0x2090      	CALL       _Lcd_Cmd
;MyProject.c,388 :: 		Lcd_Cmd(_LCD_CLEAR); // clear LCD
0x05ED	0x3001      	MOVLW      1
0x05EE	0x1683      	BSF        STATUS, 5
0x05EF	0x00CE      	MOVWF      FARG_Lcd_Cmd_out_char
0x05F0	0x2090      	CALL       _Lcd_Cmd
;MyProject.c,389 :: 		Init();
0x05F1	0x25B9      	CALL       _Init
;MyProject.c,390 :: 		angle = 1200;
0x05F2	0x30B0      	MOVLW      176
0x05F3	0x00E5      	MOVWF      _angle
0x05F4	0x3004      	MOVLW      4
0x05F5	0x00E6      	MOVWF      _angle+1
;MyProject.c,392 :: 		while (1) {
L_main48:
;MyProject.c,393 :: 		if (FollowingMode)
0x05F6	0x0827      	MOVF       _FollowingMode, 0
0x05F7	0x1903      	BTFSC      STATUS, 2
0x05F8	0x2E10      	GOTO       L_main50
;MyProject.c,395 :: 		SET_BIT7_HIGH(PORTB);
0x05F9	0x1786      	BSF        PORTB, 7
;MyProject.c,396 :: 		dis = Distance();
0x05FA	0x2440      	CALL       _Distance
0x05FB	0x0870      	MOVF       R0, 0
0x05FC	0x00BD      	MOVWF      _dis
0x05FD	0x0871      	MOVF       R0+1, 0
0x05FE	0x00BE      	MOVWF      _dis+1
;MyProject.c,397 :: 		if (dis <= 20)
0x05FF	0x0871      	MOVF       R0+1, 0
0x0600	0x3C00      	SUBLW      0
0x0601	0x1D03      	BTFSS      STATUS, 2
0x0602	0x2E05      	GOTO       L__main90
0x0603	0x0870      	MOVF       R0, 0
0x0604	0x3C14      	SUBLW      20
L__main90:
0x0605	0x1C03      	BTFSS      STATUS, 0
0x0606	0x2E09      	GOTO       L_main51
;MyProject.c,399 :: 		CCPR1L = 0;
0x0607	0x0195      	CLRF       CCPR1L
;MyProject.c,400 :: 		}
0x0608	0x2E0C      	GOTO       L_main52
L_main51:
;MyProject.c,403 :: 		direction(0);
0x0609	0x1683      	BSF        STATUS, 5
0x060A	0x01C8      	CLRF       FARG_direction_dir
0x060B	0x23B0      	CALL       _direction
;MyProject.c,404 :: 		}
L_main52:
;MyProject.c,405 :: 		SET_BIT0_LOW(PIE2);
0x060C	0x1683      	BSF        STATUS, 5
0x060D	0x100D      	BCF        PIE2, 0
;MyProject.c,406 :: 		dht11disp();
0x060E	0x2483      	CALL       _dht11disp
;MyProject.c,407 :: 		}
0x060F	0x2E5F      	GOTO       L_main53
L_main50:
;MyProject.c,410 :: 		SET_BIT7_LOW(PORTB);
0x0610	0x1386      	BCF        PORTB, 7
;MyProject.c,411 :: 		SET_BIT0_HIGH(PIE2);
0x0611	0x1683      	BSF        STATUS, 5
0x0612	0x140D      	BSF        PIE2, 0
;MyProject.c,412 :: 		CCPR1L = 0;
0x0613	0x1283      	BCF        STATUS, 5
0x0614	0x0195      	CLRF       CCPR1L
;MyProject.c,413 :: 		if (IS_BIT2_HIGH(PORTE))
0x0615	0x1D09      	BTFSS      PORTE, 2
0x0616	0x2E4E      	GOTO       L_main54
;MyProject.c,415 :: 		angle += 1000;
0x0617	0x30E8      	MOVLW      232
0x0618	0x0765      	ADDWF      _angle, 0
0x0619	0x00F1      	MOVWF      R1
0x061A	0x0866      	MOVF       _angle+1, 0
0x061B	0x1803      	BTFSC      STATUS, 0
0x061C	0x3E01      	ADDLW      1
0x061D	0x3E03      	ADDLW      3
0x061E	0x00F2      	MOVWF      R1+1
0x061F	0x0871      	MOVF       R1, 0
0x0620	0x00E5      	MOVWF      _angle
0x0621	0x0872      	MOVF       R1+1, 0
0x0622	0x00E6      	MOVWF      _angle+1
;MyProject.c,416 :: 		if (angle >= 3500) angle = 1250;
0x0623	0x300D      	MOVLW      13
0x0624	0x0272      	SUBWF      R1+1, 0
0x0625	0x1D03      	BTFSS      STATUS, 2
0x0626	0x2E29      	GOTO       L__main91
0x0627	0x30AC      	MOVLW      172
0x0628	0x0271      	SUBWF      R1, 0
L__main91:
0x0629	0x1C03      	BTFSS      STATUS, 0
0x062A	0x2E2F      	GOTO       L_main55
0x062B	0x30E2      	MOVLW      226
0x062C	0x00E5      	MOVWF      _angle
0x062D	0x3004      	MOVLW      4
0x062E	0x00E6      	MOVWF      _angle+1
L_main55:
;MyProject.c,417 :: 		for (i = 0; i < ARRAYLEN(naghama); i++)
0x062F	0x01E9      	CLRF       _i
0x0630	0x01EA      	CLRF       _i+1
L_main56:
0x0631	0x0836      	MOVF       _naghama, 0
0x0632	0x00F4      	MOVWF      R4
0x0633	0x3007      	MOVLW      7
0x0634	0x00F0      	MOVWF      R0
0x0635	0x2472      	CALL       _Div_8X8_U
0x0636	0x3080      	MOVLW      128
0x0637	0x066A      	XORWF      _i+1, 0
0x0638	0x00F1      	MOVWF      R1
0x0639	0x3080      	MOVLW      128
0x063A	0x0271      	SUBWF      R1, 0
0x063B	0x1D03      	BTFSS      STATUS, 2
0x063C	0x2E3F      	GOTO       L__main92
0x063D	0x0870      	MOVF       R0, 0
0x063E	0x0269      	SUBWF      _i, 0
L__main92:
0x063F	0x1803      	BTFSC      STATUS, 0
0x0640	0x2E4E      	GOTO       L_main57
;MyProject.c,419 :: 		if (naghama[i])
0x0641	0x0869      	MOVF       _i, 0
0x0642	0x3E36      	ADDLW      _naghama
0x0643	0x0084      	MOVWF      FSR
0x0644	0x0800      	MOVF       INDF, 0
0x0645	0x1903      	BTFSC      STATUS, 2
0x0646	0x2E49      	GOTO       L_main59
;MyProject.c,420 :: 		SET_BIT5_HIGH(PORTA);
0x0647	0x1685      	BSF        PORTA, 5
0x0648	0x2E4A      	GOTO       L_main60
L_main59:
;MyProject.c,422 :: 		SET_BIT5_LOW(PORTA);
0x0649	0x1285      	BCF        PORTA, 5
L_main60:
;MyProject.c,417 :: 		for (i = 0; i < ARRAYLEN(naghama); i++)
0x064A	0x0AE9      	INCF       _i, 1
0x064B	0x1903      	BTFSC      STATUS, 2
0x064C	0x0AEA      	INCF       _i+1, 1
;MyProject.c,423 :: 		}
0x064D	0x2E31      	GOTO       L_main56
L_main57:
;MyProject.c,424 :: 		}
L_main54:
;MyProject.c,425 :: 		Lcd_Cmd(_LCD_CLEAR);
0x064E	0x3001      	MOVLW      1
0x064F	0x1683      	BSF        STATUS, 5
0x0650	0x00CE      	MOVWF      FARG_Lcd_Cmd_out_char
0x0651	0x2090      	CALL       _Lcd_Cmd
;MyProject.c,426 :: 		Lcd_Out(1, 1, "see pill disp");
0x0652	0x3001      	MOVLW      1
0x0653	0x1683      	BSF        STATUS, 5
0x0654	0x00C8      	MOVWF      FARG_Lcd_Out_row
0x0655	0x3001      	MOVLW      1
0x0656	0x00C9      	MOVWF      FARG_Lcd_Out_column
0x0657	0x3028      	MOVLW      ?lstr6_MyProject
0x0658	0x00CA      	MOVWF      FARG_Lcd_Out_text
0x0659	0x2190      	CALL       _Lcd_Out
;MyProject.c,427 :: 		mydelayms(250);
0x065A	0x30FA      	MOVLW      250
0x065B	0x00CC      	MOVWF      FARG_mydelayms_count
0x065C	0x01CD      	CLRF       FARG_mydelayms_count+1
0x065D	0x2105      	CALL       _mydelayms
;MyProject.c,428 :: 		SET_BIT5_LOW(PORTA);
0x065E	0x1285      	BCF        PORTA, 5
;MyProject.c,429 :: 		}
L_main53:
;MyProject.c,430 :: 		}
0x065F	0x2DF6      	GOTO       L_main48
;MyProject.c,431 :: 		}
L_end_main:
0x0660	0x2E60      	GOTO       $+0
; end of _main
0x06C0	0x3027      	MOVLW      39
0x06C1	0x0084      	MOVWF      FSR
0x06C2	0x303E      	MOVLW      62
0x06C3	0x1283      	BCF        STATUS, 5
0x06C4	0x1303      	BCF        STATUS, 6
0x06C5	0x00F0      	MOVWF      R0
0x06C6	0x3066      	MOVLW      102
0x06C7	0x00EC      	MOVWF      ___DoICPAddr
0x06C8	0x3006      	MOVLW      6
0x06C9	0x00ED      	MOVWF      109
0x06CA	0x25AD      	CALL       1453
0x06CB	0x30A0      	MOVLW      160
0x06CC	0x0084      	MOVWF      FSR
0x06CD	0x301C      	MOVLW      28
0x06CE	0x1283      	BCF        STATUS, 5
0x06CF	0x00F0      	MOVWF      R0
0x06D0	0x30A4      	MOVLW      164
0x06D1	0x00EC      	MOVWF      ___DoICPAddr
0x06D2	0x3006      	MOVLW      6
0x06D3	0x00ED      	MOVWF      109
0x06D4	0x25AD      	CALL       1453
0x06D5	0x0008      	RETURN
;MyProject.c,0 :: ?ICS_FollowingMode
0x0666	0x3401 ;?ICS_FollowingMode+0
; end of ?ICS_FollowingMode
;MyProject.c,0 :: ?ICS?lstr6_MyProject
0x0667	0x3473 ;?ICS?lstr6_MyProject+0
0x0668	0x3465 ;?ICS?lstr6_MyProject+1
0x0669	0x3465 ;?ICS?lstr6_MyProject+2
0x066A	0x3420 ;?ICS?lstr6_MyProject+3
0x066B	0x3470 ;?ICS?lstr6_MyProject+4
0x066C	0x3469 ;?ICS?lstr6_MyProject+5
0x066D	0x346C ;?ICS?lstr6_MyProject+6
0x066E	0x346C ;?ICS?lstr6_MyProject+7
0x066F	0x3420 ;?ICS?lstr6_MyProject+8
0x0670	0x3464 ;?ICS?lstr6_MyProject+9
0x0671	0x3469 ;?ICS?lstr6_MyProject+10
0x0672	0x3473 ;?ICS?lstr6_MyProject+11
0x0673	0x3470 ;?ICS?lstr6_MyProject+12
0x0674	0x3400 ;?ICS?lstr6_MyProject+13
; end of ?ICS?lstr6_MyProject
;MyProject.c,0 :: ?ICS_naghama
0x0675	0x3401 ;?ICS_naghama+0
0x0676	0x3400 ;?ICS_naghama+1
0x0677	0x3401 ;?ICS_naghama+2
0x0678	0x3400 ;?ICS_naghama+3
0x0679	0x3401 ;?ICS_naghama+4
0x067A	0x3400 ;?ICS_naghama+5
0x067B	0x3401 ;?ICS_naghama+6
; end of ?ICS_naghama
;MyProject.c,0 :: ?ICS_dis
0x067C	0x3400 ;?ICS_dis+0
0x067D	0x3400 ;?ICS_dis+1
; end of ?ICS_dis
;MyProject.c,0 :: ?ICS_oftmr0
0x067E	0x3400 ;?ICS_oftmr0+0
0x067F	0x3400 ;?ICS_oftmr0+1
; end of ?ICS_oftmr0
;MyProject.c,0 :: ?ICS?lstr2_MyProject
0x0680	0x3448 ;?ICS?lstr2_MyProject+0
0x0681	0x3475 ;?ICS?lstr2_MyProject+1
0x0682	0x346D ;?ICS?lstr2_MyProject+2
0x0683	0x3469 ;?ICS?lstr2_MyProject+3
0x0684	0x3464 ;?ICS?lstr2_MyProject+4
0x0685	0x3469 ;?ICS?lstr2_MyProject+5
0x0686	0x3474 ;?ICS?lstr2_MyProject+6
0x0687	0x3479 ;?ICS?lstr2_MyProject+7
0x0688	0x343A ;?ICS?lstr2_MyProject+8
0x0689	0x3420 ;?ICS?lstr2_MyProject+9
0x068A	0x3425 ;?ICS?lstr2_MyProject+10
0x068B	0x3400 ;?ICS?lstr2_MyProject+11
; end of ?ICS?lstr2_MyProject
;MyProject.c,0 :: ?ICS?lstr1_MyProject
0x068C	0x3454 ;?ICS?lstr1_MyProject+0
0x068D	0x3465 ;?ICS?lstr1_MyProject+1
0x068E	0x346D ;?ICS?lstr1_MyProject+2
0x068F	0x3470 ;?ICS?lstr1_MyProject+3
0x0690	0x343A ;?ICS?lstr1_MyProject+4
0x0691	0x3420 ;?ICS?lstr1_MyProject+5
0x0692	0x3443 ;?ICS?lstr1_MyProject+6
0x0693	0x3400 ;?ICS?lstr1_MyProject+7
; end of ?ICS?lstr1_MyProject
;MyProject.c,0 :: ?ICS?lstr3_MyProject
0x0694	0x3443 ;?ICS?lstr3_MyProject+0
0x0695	0x3468 ;?ICS?lstr3_MyProject+1
0x0696	0x3465 ;?ICS?lstr3_MyProject+2
0x0697	0x3463 ;?ICS?lstr3_MyProject+3
0x0698	0x346B ;?ICS?lstr3_MyProject+4
0x0699	0x3420 ;?ICS?lstr3_MyProject+5
0x069A	0x3473 ;?ICS?lstr3_MyProject+6
0x069B	0x3475 ;?ICS?lstr3_MyProject+7
0x069C	0x346D ;?ICS?lstr3_MyProject+8
0x069D	0x3420 ;?ICS?lstr3_MyProject+9
0x069E	0x3465 ;?ICS?lstr3_MyProject+10
0x069F	0x3472 ;?ICS?lstr3_MyProject+11
0x06A0	0x3472 ;?ICS?lstr3_MyProject+12
0x06A1	0x346F ;?ICS?lstr3_MyProject+13
0x06A2	0x3472 ;?ICS?lstr3_MyProject+14
0x06A3	0x3400 ;?ICS?lstr3_MyProject+15
; end of ?ICS?lstr3_MyProject
;MyProject.c,0 :: ?ICS?lstr5_MyProject
0x06A4	0x3466 ;?ICS?lstr5_MyProject+0
0x06A5	0x3472 ;?ICS?lstr5_MyProject+1
0x06A6	0x346F ;?ICS?lstr5_MyProject+2
0x06A7	0x346D ;?ICS?lstr5_MyProject+3
0x06A8	0x3420 ;?ICS?lstr5_MyProject+4
0x06A9	0x3474 ;?ICS?lstr5_MyProject+5
0x06AA	0x3468 ;?ICS?lstr5_MyProject+6
0x06AB	0x3465 ;?ICS?lstr5_MyProject+7
0x06AC	0x3420 ;?ICS?lstr5_MyProject+8
0x06AD	0x3473 ;?ICS?lstr5_MyProject+9
0x06AE	0x3465 ;?ICS?lstr5_MyProject+10
0x06AF	0x346E ;?ICS?lstr5_MyProject+11
0x06B0	0x3473 ;?ICS?lstr5_MyProject+12
0x06B1	0x346F ;?ICS?lstr5_MyProject+13
0x06B2	0x3472 ;?ICS?lstr5_MyProject+14
0x06B3	0x3400 ;?ICS?lstr5_MyProject+15
; end of ?ICS?lstr5_MyProject
;MyProject.c,0 :: ?ICS?lstr4_MyProject
0x06B4	0x344E ;?ICS?lstr4_MyProject+0
0x06B5	0x346F ;?ICS?lstr4_MyProject+1
0x06B6	0x3420 ;?ICS?lstr4_MyProject+2
0x06B7	0x3472 ;?ICS?lstr4_MyProject+3
0x06B8	0x3465 ;?ICS?lstr4_MyProject+4
0x06B9	0x3473 ;?ICS?lstr4_MyProject+5
0x06BA	0x3470 ;?ICS?lstr4_MyProject+6
0x06BB	0x346F ;?ICS?lstr4_MyProject+7
0x06BC	0x346E ;?ICS?lstr4_MyProject+8
0x06BD	0x3473 ;?ICS?lstr4_MyProject+9
0x06BE	0x3465 ;?ICS?lstr4_MyProject+10
0x06BF	0x3400 ;?ICS?lstr4_MyProject+11
; end of ?ICS?lstr4_MyProject
Symbol List:
//** Routines locations **
//ADDRESS    SIZE    PROCEDURE
//----------------------------------------------
0x0004     [117]    _interrupt
0x0079       [3]    _Delay_1us
0x007C      [13]    _Delay_5500us
0x0089       [7]    _Delay_50us
0x0090      [94]    _Lcd_Cmd
0x00EE       [7]    _RES032
0x00F5       [4]    _FIXSIGN32
0x00F9      [12]    _SETFUN32
0x0105      [22]    _mydelayms
0x011B       [6]    _MotorSpeed
0x0121       [9]    _Lcd_Chr_CP
0x012A      [27]    _mydelayus
0x0145      [13]    _SETIOV3224
0x0152      [12]    _SETFOV32
0x015E      [47]    _NRM3232
0x018D       [3]    _SETFDZ32
0x0190      [65]    _Lcd_Out
0x01D1     [183]    _Div_32x32_FP
0x0288       [7]    _____DoICP
0x028F      [12]    _CCPPWM_init
0x029B      [29]    _Div_16X16_U
0x02B8      [86]    _ReadData
0x030E      [10]    _ATD_init
0x0318      [38]    _CheckResponse
0x033E      [21]    _StartSignal
0x0353      [93]    _double2int
0x03B0      [59]    _direction
0x03EB      [55]    _Lcd_Chr
0x0422      [30]    _int2double
0x0440      [50]    _Distance
0x0472      [17]    _Div_8X8_U
0x0483     [219]    _dht11disp
0x055E      [79]    _Lcd_Init
0x05AD      [12]    ___CC2DW
0x05B9      [47]    _Init
0x05E8     [120]    _main
//** Variables locations ** 
//ADDRESS    SIZE    VARIABLE
//----------------------------------------------
0x0000       [1]    INDF
0x0001       [1]    TMR0
0x0002       [1]    PCL
0x0003       [1]    STATUS
0x0004       [1]    FSR
0x0005       [1]    PORTA
0x0006       [1]    PORTB
0x0007       [1]    PORTC
0x0008       [0]    RD7_bit
0x0008       [0]    LCD_D5
0x0008       [0]    RD2_bit
0x0008       [0]    LCD_D6
0x0008       [1]    PORTD
0x0008       [0]    LCD_D7
0x0008       [0]    RD5_bit
0x0008       [0]    LCD_RS
0x0008       [0]    RD6_bit
0x0008       [0]    RD4_bit
0x0008       [0]    RD3_bit
0x0008       [0]    LCD_D4
0x0008       [0]    LCD_EN
0x0009       [1]    PORTE
0x000A       [1]    PCLATH
0x000B       [1]    INTCON
0x000C       [1]    PIR1
0x000D       [1]    PIR2
0x000E       [1]    TMR1L
0x000F       [1]    TMR1H
0x0010       [1]    T1CON
0x0012       [1]    T2CON
0x0015       [1]    CCPR1L
0x0017       [1]    CCP1CON
0x001B       [1]    CCPR2L
0x001C       [1]    CCPR2H
0x001D       [1]    CCP2CON
0x001F       [1]    ADCON0
0x0020       [1]    __math_tempbD
0x0027       [1]    _FollowingMode
0x0028      [14]    ?lstr6_MyProject
0x0036       [7]    _naghama
0x003D       [2]    _dis
0x003F       [2]    _oftmr0
0x0041      [12]    ?lstr2_MyProject
0x004D       [8]    ?lstr1_MyProject
0x0055      [16]    ?lstr3_MyProject
0x0065       [2]    _angle
0x0067       [2]    _tick
0x0069       [2]    _i
0x006B       [1]    _Check
0x006C       [2]    ___DoICPAddr
0x006E       [2]    _RH
0x0070       [1]    R0
0x0071       [1]    R1
0x0072       [1]    R2
0x0073       [1]    R3
0x0074       [1]    R4
0x0075       [1]    R5
0x0076       [1]    R6
0x0077       [1]    R7
0x0078       [1]    R8
0x0079       [1]    R9
0x007A       [1]    R10
0x007B       [1]    R11
0x007C       [1]    R12
0x007D       [1]    R13
0x007E       [1]    R14
0x007F       [1]    R15
0x0081       [1]    OPTION_REG
0x0085       [1]    TRISA
0x0086       [1]    TRISB
0x0087       [1]    TRISC
0x0088       [0]    LCD_EN_Direction
0x0088       [0]    LCD_RS_Direction
0x0088       [1]    TRISD
0x0088       [0]    LCD_D4_Direction
0x0088       [0]    LCD_D7_Direction
0x0088       [0]    LCD_D6_Direction
0x0088       [0]    LCD_D5_Direction
0x0088       [0]    TRISD5_bit
0x0088       [0]    TRISD6_bit
0x0088       [0]    TRISD7_bit
0x0088       [0]    TRISD4_bit
0x0088       [0]    TRISD2_bit
0x0088       [0]    TRISD3_bit
0x0089       [1]    TRISE
0x008C       [1]    PIE1
0x008D       [1]    PIE2
0x0092       [1]    PR2
0x009F       [1]    ADCON1
0x00A0      [16]    ?lstr5_MyProject
0x00B0      [12]    ?lstr4_MyProject
0x00BC       [0]    __Lib_Lcd_cmd_status
0x00BD       [1]    _RH_byte2
0x00BE       [1]    _RH_byte1
0x00BF       [1]    _HL
0x00C0       [1]    _T_byte1
0x00C1       [2]    _Temp
0x00C3       [2]    _Sum
0x00C5       [1]    _T_byte2
0x00C6       [1]    ___savePCLATH
0x00C7       [1]    ___saveSTATUS
0x00C8       [1]    FARG_direction_dir
0x00C8       [1]    ReadData_i_L0
0x00C8       [1]    FARG_Lcd_Out_row
0x00C8       [1]    FARG_Lcd_Chr_row
0x00C9       [1]    ReadData_j_L0
0x00C9       [1]    FARG_Lcd_Chr_column
0x00C9       [1]    FARG_Lcd_Out_column
0x00CA       [1]    FARG_Lcd_Chr_out_char
0x00CA       [1]    FARG_Lcd_Out_text
0x00CB       [1]    Lcd_Out_i_L0
0x00CC       [2]    FARG_mydelayus_count
0x00CC       [1]    FARG_Lcd_Chr_CP_out_char
0x00CC       [2]    FARG_MotorSpeed_speed
0x00CC       [2]    FARG_mydelayms_count
0x00CE       [1]    FARG_Lcd_Cmd_out_char
//** Constants locations ** 
//ADDRESS    SIZE    CONSTANT
//----------------------------------------------
0x0666       [1]    ?ICS_FollowingMode
0x0667      [14]    ?ICS?lstr6_MyProject
0x0675       [7]    ?ICS_naghama
0x067C       [2]    ?ICS_dis
0x067E       [2]    ?ICS_oftmr0
0x0680      [12]    ?ICS?lstr2_MyProject
0x068C       [8]    ?ICS?lstr1_MyProject
0x0694      [16]    ?ICS?lstr3_MyProject
0x06A4      [16]    ?ICS?lstr5_MyProject
0x06B4      [12]    ?ICS?lstr4_MyProject
